date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:26:25	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202019%2011:56:41%20GMT	http://emeraldgroupjpr.co.in/robots.txt		(from )
17:26:27	48902/48902	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Jun%202019%2011:56:42%20GMT	http://emeraldgroupjpr.co.in/	D:/download/theme2/emeraldgroupjpr.co.in/index.html	(from )
17:26:29	23361/23361	---M-Z	200	added ('OK')	text/css	etag:%220386ec7c1dd51:0%22	https://www.w3schools.com/w3css/4/w3.css	D:/download/theme2/www.w3schools.com/w3css/4/w3.css	(from http://emeraldgroupjpr.co.in/)
17:26:33	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4939-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	D:/download/theme2/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from http://emeraldgroupjpr.co.in/)
17:26:33	21984/21984	---M--	200	added ('OK')	text/css	etag:%22a4a537309417d41:0%22	http://emeraldgroupjpr.co.in/css/font-awesome.min.css	D:/download/theme2/emeraldgroupjpr.co.in/css/font-awesome.min.css	(from http://emeraldgroupjpr.co.in/)
17:26:35	4895/4895	---M--	200	added ('OK')	text/css	etag:%22e4478309417d41:0%22	http://emeraldgroupjpr.co.in/css/jquery.fancybox.css	D:/download/theme2/emeraldgroupjpr.co.in/css/jquery.fancybox.css	(from http://emeraldgroupjpr.co.in/)
17:26:35	112741/112741	---M--	200	added ('OK')	text/css	etag:%222687762f9417d41:0%22	http://emeraldgroupjpr.co.in/css/bootstrap.min.css	D:/download/theme2/emeraldgroupjpr.co.in/css/bootstrap.min.css	(from http://emeraldgroupjpr.co.in/)
17:26:37	14320/14320	---M--	200	added ('OK')	text/css	etag:%22a4bf74319417d41:0%22	http://emeraldgroupjpr.co.in/css/main.css	D:/download/theme2/emeraldgroupjpr.co.in/css/main.css	(from http://emeraldgroupjpr.co.in/)
17:26:38	68764/68764	---M--	200	added ('OK')	text/css	etag:%222a814c2e9417d41:0%22	http://emeraldgroupjpr.co.in/css/animate.css	D:/download/theme2/emeraldgroupjpr.co.in/css/animate.css	(from http://emeraldgroupjpr.co.in/)
17:26:39	3315/3315	---M-Z	200	added ('OK')	text/css	etag:%224ac83319417d41:0%22	http://emeraldgroupjpr.co.in/css/media-queries.css	D:/download/theme2/emeraldgroupjpr.co.in/css/media-queries.css	(from http://emeraldgroupjpr.co.in/)
